provider,total_geo_results,covered_count,coverage_rate,agree_count,agree_rate,disagree_count,unknown_count,gb_count,provider_country_top,selected_country_top
youtube,4865,4822,0.991161,4822,1.000000,0,43,0,HK:3375|VN:1089|SG:143|JP:126|US:46|FR:26|TW:6|SA:4,HK:3416|VN:1089|SG:143|JP:127|US:46|FR:26|TW:6|SA:4
ping0,4865,4810,0.988695,3707,0.770686,1103,55,0,HK:4450|SG:146|JP:143|FR:30|US:29|TW:6|CH:3|DE:2,HK:3416|VN:1089|SG:143|JP:127|US:46|FR:26|TW:6|SA:4
ipwhois,4865,2897,0.595478,229,0.079047,2668,1968,0,SG:2706|JP:144|FR:30|US:10|KR:4|DE:3,HK:3416|VN:1089|SG:143|JP:127|US:46|FR:26|TW:6|SA:4
