exit_region_name,exit_country_code,eligible_count,selected_count,min_latency_ms,median_latency_ms
挪威,NO,1,1,0,0
加拿大,CA,1,1,0,0
捷克,CZ,1,1,0,0
澳大利亚,AU,1,1,0,0
罗马尼亚,RO,1,1,0,0
英国,GB,1,1,0,0
西班牙,ES,1,1,0,0
印度,IN,2,2,0,0
沙特阿拉伯,SA,7,7,0,0
法国,FR,18,18,0,0
德国,DE,21,20,0,0
新加坡,SG,27,27,0,0
美国,US,28,28,0,0
日本,JP,32,30,0,0
香港,HK,63,20,0,0
