bucket,cfst_colos,total_candidates,selected_for_test,tested,ok,final,pool_limit
DE,FRA,5,5,5,5,5,70
FR,MRS,2,2,2,2,2,70
HK,HKG,2075,60,60,60,21,60
JP,KIX|NRT,5,5,5,5,5,70
SG,SIN,332,60,60,60,30,60
US,DEN|LAX|SJC,10,10,10,10,10,70
UNKNOWN,UNKNOWN,300,300,300,0,0,all
